feature_a,feature_b,spearman_rho,mz_a,mz_b,rt_a,rt_b,mz_diff,rt_diff,candidate_isomer,candidate_isotope_or_adduct,high_corr_near_duplicate,high_corr_other,relation_type
FT-002,FT-004,0.9676281613123718,889.6499309783783,888.6453654740943,609.0997423566134,609.2556518766722,1.0045655042839599,0.155909520058799,False,True,False,True,candidate_isotope_or_adduct_correlated
FT-006,FT-005,0.982693096377307,887.6403722304062,886.6324598613013,609.3874587233016,609.4612894305731,1.007912369104929,0.07383070727144059,False,True,True,True,candidate_isotope_or_adduct_correlated
FT-006,FT-004,0.9860833902939166,887.6403722304062,888.6453654740943,609.3874587233016,609.2556518766722,1.0049932436880908,0.13180684662938802,False,True,True,True,candidate_isotope_or_adduct_correlated
FT-005,FT-004,0.9780724538619275,886.6324598613013,888.6453654740943,609.4612894305731,609.2556518766722,2.01290561279302,0.2056375539008286,False,True,True,True,candidate_isotope_or_adduct_correlated
FT-051,FT-078,0.12287081339712919,1069.2050570468462,1077.205728818574,1157.7638325982018,1164.9081193819106,8.000671771727866,7.1442867837088215,False,True,False,False,candidate_isotope_or_adduct
FT-051,FT-049,0.0577717019822283,1069.2050570468462,1097.2225774589213,1157.7638325982018,1176.9292956095635,28.0175204120751,19.16546301136168,False,True,False,False,candidate_isotope_or_adduct
FT-051,FT-195,-0.06012303485987697,1069.2050570468462,1077.708774786632,1157.7638325982018,1164.8240522057135,8.50371773978577,7.060219607511726,False,True,False,False,candidate_isotope_or_adduct
FT-051,FT-193,0.6642788790157211,1069.2050570468462,1068.7043278235449,1157.7638325982018,1173.5611587867572,0.5007292233012777,15.797326188555417,False,True,False,False,candidate_isotope_or_adduct
FT-051,FT-075,0.009924812030075189,1069.2050570468462,1076.704086348371,1157.7638325982018,1165.0016465840235,7.499029301524843,7.237813985821731,False,True,False,False,candidate_isotope_or_adduct
FT-051,FT-053,0.003991797676008203,1069.2050570468462,1097.723992703951,1157.7638325982018,1176.67239430599,28.51893565710475,18.908561707788294,False,True,False,False,candidate_isotope_or_adduct
FT-051,FT-192,0.36683526999316474,1069.2050570468462,1068.7037715820934,1157.7638325982018,1157.8147203461158,0.5012854647527547,0.050887747913975545,False,True,False,False,candidate_isotope_or_adduct
