sample,class,order,batch,total_signal_raw,log10_total_signal_plus1,detected_features,detection_rate,zero_fraction,corr_to_class_median,PC1,PC2,PC3,PC4,PC5,pca_distance_to_class_centroid,log10_total_signal_plus1_robust_z_within_class,detected_features_robust_z_within_class,zero_fraction_robust_z_within_class,corr_to_class_median_robust_z_within_class,pca_distance_to_class_centroid_robust_z_within_class,flag_low_total_signal,flag_low_detected_features,flag_high_zero_fraction,flag_low_corr_to_class_median,flag_high_pca_distance,n_review_flags,recommend_exclude,review_tier
20241106-297-Dunn-20,Dunn,15,1,952475.588578537,5.97885430972707,250,0.9920634920634921,0.007936507936507908,0.9763406333897846,2.3149243348197364,1.433426816095594,-9.513490103474382,-3.3634833743891517,-3.361959560078883,9.113628279386617,0.8104864671949553,0.0,0.0,-2.6292260105380025,0.495443116770097,False,False,False,False,False,0,False,keep
20241106-297-Dunn-17,Dunn,18,1,685558.0375562403,5.836044860410544,250,0.9920634920634921,0.007936507936507908,0.9912619409922956,0.0758545377257039,4.0484918960935685,-9.49527286975584,-6.612829497146899,2.711786670747723,11.528968570279906,-0.8744247459886727,0.0,0.0,0.0,1.1889672221752718,False,False,False,False,False,0,False,keep
20241106-297-Dunn-7,Dunn,19,1,840205.5076425866,5.924386040951462,250,0.9920634920634921,0.007936507936507908,0.9939086105997061,1.4089019875332687,1.7820239789630008,-9.87830841193003,-4.551329641503492,0.8524108009511598,8.686524687136313,0.16785254302575553,0.0,0.0,0.4663594343389329,0.3728075453570188,False,False,False,False,False,0,False,keep
20241106-297-Dunn-1,Dunn,21,1,815696.0970256847,5.91152891670465,250,0.9920634920634921,0.007936507936507908,0.995089843933144,2.2028889051615144,-0.43077074994591835,-10.948092885665162,-3.888956440342629,0.2042492187472323,7.687435792506895,0.016160110092031766,0.0,0.0,0.6745,0.08593607036007209,False,False,False,False,False,0,False,keep
20241106-297-Dunn-21,Dunn,24,1,1034690.8149202509,6.014811013551121,251,0.996031746031746,0.003968253968253954,0.9931756117213257,3.7150456631893616,-3.8077745070001816,-10.725350287669984,-0.1820081339375065,-4.4810282817620966,8.001781262702387,1.2347150721802391,0.6782523220157747,-0.6782523220157727,0.3372005316427217,0.17619505449885392,False,False,False,False,False,0,False,keep
20241106-297-Dunn-5,Dunn,29,1,660545.3553439946,5.819903300623804,250,0.9920634920634921,0.007936507936507908,0.9920957975168572,-0.6467360345350567,3.4085715236011107,-6.277980285749809,-4.393551661154628,2.1949275492481966,9.309149027158913,-1.0648679919581436,0.0,0.0,0.14693063917971866,0.5515835919644981,False,False,False,False,False,0,False,keep
20241106-297-Dunn-4,Dunn,33,1,981789.1253976716,5.9920186597592995,249,0.9880952380952381,0.011904761904761862,0.9972826550531825,3.6352846172971987,-2.943231916792671,-10.118218091682728,-1.2568953020014977,-0.8362975570864686,5.514714266177017,0.9658036474637203,-0.6782523220157747,0.6782523220157727,1.0608867823508865,-0.5379241610631394,False,False,False,False,False,0,False,keep
20241106-297-Dunn-23,Dunn,34,1,927529.9055953126,5.967328389344644,250,0.9920634920634921,0.007936507936507908,0.9963983690303931,3.2975447721091595,-2.505761463774463,-9.17201360938538,-0.9874731759857123,-1.4250853379956983,5.113463258632228,0.6745,0.0,0.0,0.9050701559661,-0.6531366001135007,False,False,False,False,False,0,False,keep
20241106-297-Dunn-11,Dunn,36,1,785249.4991756352,5.895008221147148,251,0.996031746031746,0.003968253968253954,0.9978420588007753,2.051495255068076,-3.974734476891003,-8.712511013550449,-0.7033418966444999,0.105249572035005,3.3750400695306846,-0.1787563000450222,0.6782523220157747,-0.6782523220157727,1.1594571571963097,-1.1522954108131582,False,False,False,False,False,0,False,keep
20241106-297-Dunn-26,Dunn,37,1,891005.8379207974,5.949881036988474,250,0.9920634920634921,0.007936507936507908,0.9963256315321505,2.4507985549979687,-2.7563671545449,-8.80349196063194,-1.2065553287757584,0.09367362522116038,3.902548018426894,0.46865059881563165,0.0,0.0,0.8922533621960367,-1.0008304268803725,False,False,False,False,False,0,False,keep
20241106-297-Dunn-19,Dunn,39,1,937951.0719982926,5.972180647122704,250,0.9920634920634921,0.007936507936507908,0.9946204266315128,2.6242604837371903,-4.691653581207581,-9.684614501142223,1.0535788405684028,-4.626403596859514,7.3881457583696415,0.731748477454667,0.0,0.0,0.5917857894144881,0.0,False,False,False,False,False,0,False,keep
