sample,FT-145,FT-015,FT-174,FT-188,FT-028,FT-156,FT-217,FT-146,FT-172,FT-089,FT-079,FT-002,FT-006,FT-005,FT-051,FT-004,FT-168,FT-040,FT-245,FT-243,FT-238,FT-110,FT-202,FT-060,FT-069,FT-095,FT-225,FT-066,FT-159,FT-206,FT-043,FT-038,FT-115,FT-158,FT-046,FT-161,FT-063,FT-101,FT-200,FT-105,FT-155,FT-072,FT-186,FT-076,FT-056,FT-133,FT-203,FT-023,FT-050,FT-018,FT-078,FT-178,FT-102,FT-233
20241106-297-Dunn-20,6.810106390108115,7.653717018303723,2.4262624412993756,4.574392568053816,6.4759179282443675,7.603356938039292,4.858435956039329,5.6793380032966665,1.024751521120526,7.563371487399018,4.583367012887363,7.235772402952553,9.493292134713062,10.272891478336533,4.832890033387291,8.409775158255306,8.290938529608919,6.752964001964133,4.503842542096032,5.114522744263387,3.877522199077239,7.975195156394533,5.135725385339904,6.029284292747525,6.777331952463174,7.812007075295509,4.037119750898296,7.179683897765433,7.051214908675,4.863432924292021,8.116778174276439,6.2007676621011125,4.923219172738459,6.766817264560977,8.687805831893783,7.562707608339587,7.217644215444789,10.614222916987853,4.857986349881285,10.639440299068438,6.88784143572727,5.053565811676006,4.484720444281477,10.014351648315275,8.018782506086822,7.148779967936773,7.380419827574885,7.407604214815727,8.655113265611462,7.843162835755752,6.681752206647666,7.1169111904272695,6.402834509588422,6.861897694861788
20241106-297-Dunn-17,6.673124135191756,7.606792607443998,0.0,4.3873431281511674,6.55327935778069,7.598583081886501,4.30372387075968,5.536728489202618,6.058344205679469,7.668890186680345,4.606297374219918,7.56337832481267,9.801281416004086,10.51208802397526,4.875249507954058,8.735817389915788,8.234572074880488,6.599588062692,4.129419537813512,5.166451826979782,3.7520207566289336,8.006776565547346,4.735813282891125,5.865810287249469,6.746231610586857,7.879243990176726,3.962823106076704,7.164993446121547,7.062061734696559,4.877955285219604,8.095164756070657,6.057931096723597,4.6084820378173355,6.67230149710097,8.71117266473834,7.577854192428708,7.114755124873539,10.701351957041238,4.596800283536477,10.632748432513747,7.015952001879656,4.836203970812881,3.870298759240546,9.967688295780322,7.8906362394150635,6.996117830333825,7.288534358926069,7.347794007082161,8.608395437689003,7.772160873845897,6.5194543211259415,7.167856012482421,6.3555742362917815,6.813778583723181
20241106-297-Dunn-7,6.674943033507285,7.679243262009866,5.565184517275167,3.8354536133067767,6.596215914164666,7.610348695303849,4.642086664003036,5.582989437853798,1.897992714987968,7.6549578371148295,4.318297238371753,7.345709409690311,9.675688048211697,10.422796833550342,4.854205790056495,8.63129463114847,8.206413750788082,6.752257493868389,3.9843606137221887,4.96798764804446,3.875237811066781,8.056120320317739,4.771212437463909,5.949715749610074,6.7705458174107935,7.871966481484138,3.9134488284326725,7.220257552655284,7.102205013617903,4.872963202339208,8.20218716742056,6.150132383656794,4.727795617169069,6.719868986832168,8.715414048642547,7.568935757103784,7.161272913544417,10.645267990284012,4.678751168355823,10.570585343766217,6.880407554975829,4.841841511369234,4.390443306788245,9.971226485905076,7.901079921936399,7.089722494758117,7.320192013647866,7.474564067351715,8.729966962771762,7.9222106533630114,6.542473212483895,7.310803335308644,6.272658890840427,6.880016577547458
20241106-297-Dunn-1,6.7069830116083375,7.678680831575097,0.0,4.655715075180449,6.525038084260453,7.6221008928536325,4.7354985174213535,5.542846267912584,3.345603322036519,7.594652703751961,4.390876558499456,7.249888978763775,9.54659584509917,10.290785038694185,4.8763216818311585,8.506168166196641,8.16255197825794,6.8300109764310015,4.135318943527849,4.746087158467167,3.8483732827486765,8.058554574381418,4.975969864973083,5.893103991989388,6.8326872213099055,7.846217803094282,4.540550880075762,7.20014949574555,7.07017300310922,5.179846844019277,8.153525111052318,6.292301076786901,4.6541210634564,6.602258230908607,8.724143438559002,7.542720724117516,7.146756315227636,10.644289653150066,4.855973468236926,10.580372838654545,6.868825713607419,4.9599376123590195,4.388450483976533,10.020128804253359,7.9749604305172985,6.956294098471803,7.314912335775626,7.392113139854295,8.710252063153577,7.8646886670858525,6.652240234708334,7.319470981287684,6.45073430104743,6.789664070017551
20241106-297-Dunn-21,6.769528368269454,7.695664211880328,2.963022279027562,4.482772760856222,6.3827650611653075,7.594806300780936,4.672534308159678,5.652291374874965,6.13611008088417,7.493602372690416,4.256618385474309,7.103625477193931,9.481938979746708,10.186297440465045,5.026986424999661,8.43995099651311,8.22116819452977,6.880356450437504,4.2379153638082965,5.15993432581549,4.237913102653806,8.052944458706651,5.164758198831045,6.081069250341867,6.831872429154957,7.888677808136403,4.25102381699391,7.2544518434889245,6.969935109511998,5.101810280920141,8.263274945708607,6.295210043608326,4.748622469784405,6.770313680902775,8.805591443288524,7.527648624041742,7.175557954841888,10.602524600326024,5.0883681999735675,10.548663383135265,6.848505421694635,5.022594142569083,4.227209530607488,10.057608832638268,8.001915219820779,7.126608266000033,7.422765882690115,7.396543324211252,8.757601805596915,7.804685170927479,6.629852718799821,7.344012430562409,6.448364065910855,6.955155861088285
20241106-297-Dunn-5,6.72276058575471,7.559385770067988,2.0511463443297253,4.209537220587011,6.4547753102463465,7.570682046312178,4.575461212899308,5.132154743357453,2.648523711464636,7.625808443385916,4.2166530050848925,7.2566607229289275,9.580250122736913,10.331891301357485,4.587760747320207,8.515376428283156,8.317522602989909,6.730081142859263,4.538814304814055,5.158031526543579,3.9979449391468593,7.983790409336086,5.06754974693096,5.84282526843329,6.700364146506615,7.851766751743879,3.836177121753921,7.134126156135132,6.978150834760014,4.994343806089555,8.143812670817633,6.245442765494354,4.493029344078508,6.85010131393884,8.741553724430917,7.603026890743492,7.152667185737873,10.655590321391774,4.472232329138774,10.675992264609704,7.03274037331413,4.736557768772748,4.284662947091136,10.043300956718697,7.896845352469559,7.0820519902236105,7.526705065116907,7.325479291147649,8.717310095308438,7.782652272737575,6.469953347341744,7.0130988687586555,6.2248559494080045,6.803827768198293
20241106-297-Dunn-4,6.755333760350784,7.621937165494196,1.5936383999355324,4.44416989198933,6.429622949484551,7.528865466803505,4.836505318175027,5.574350695305456,3.235280078631485,7.569362093824498,4.582811505281048,7.463369677972394,9.693296916820449,10.480114374157214,5.0425309685839075,8.667597029848496,8.245598454681458,6.80870352485363,4.346433156725152,5.082742090600766,3.9248023136212677,8.051368861810898,4.912101753952195,5.963104455402632,6.8444695779364,7.914121239805635,4.516360082453949,7.236096270051302,6.96089337900055,5.122561795662731,8.222033162408321,6.364749932656711,4.943717921794777,6.70517705031821,8.802832514228761,7.502891895564461,7.227588290817142,10.631623395055291,4.690353170964281,10.516158835761935,6.8232891035948064,5.030017681324902,4.280039156697239,10.040898877698183,7.912447680742947,6.966970298236206,7.388802002147422,7.38277345828186,8.733941045346238,7.785219020495586,6.727186378289514,7.294517953558179,6.458744452928713,6.860733639252965
20241106-297-Dunn-23,6.6699790764286035,7.617715762089068,1.6723843660785862,4.700749229989859,6.554381215213365,7.599482307446174,4.886884790507707,5.556407412622687,6.182522303558564,7.6060155435995425,4.354757302300112,7.324289454017727,9.647605280719546,10.34028153542911,4.6723227177121975,8.618108486198459,8.244284635679861,6.760914292083996,4.190396546712673,5.289839602062631,4.150860444841116,8.06344768591626,5.06874302380266,6.070414839815245,6.863052052364028,7.905539193336017,4.266537405953476,7.260637267004695,6.952208823377999,5.311532474114841,8.231794799802893,6.1959897600453235,5.15801103651266,6.767343698593727,8.81451645711953,7.602928442972612,7.1658822698564375,10.66550461017562,4.889373962050306,10.580248568907,6.848081223010347,4.677779725535374,4.493095158065053,9.994304847140864,7.911066273194016,6.927813229706777,7.377430715769845,7.418936647097184,8.76439856538579,7.822519229146353,6.675371881768325,7.345390810819267,6.358553955313228,6.945126466591524
20241106-297-Dunn-11,6.696872258056018,7.6009387374450705,3.0119809978522856,4.79026594135708,6.464499510170918,7.588857685034609,4.682144376630343,5.564641230664156,2.906534326098364,7.657161441196226,3.7618808665195127,7.044003932568787,9.344647263988177,10.110731063988815,4.580998218381356,8.30427411504456,8.298936789038947,6.85488947799013,4.098863762220864,5.139996397555431,4.301320419886825,8.052773412719835,4.699046188436744,5.939718081470912,6.834201172392681,7.952893045379358,3.5792207259597637,7.258700158263723,6.884602312164334,5.170256837209755,8.282863383988833,6.376298981352143,4.976742354991446,6.730266522920671,8.855826712938017,7.583067117565001,7.222374811435145,10.70388367649669,4.593054302001128,10.623526603109132,6.836322043708611,4.816046629785471,4.242520704908185,10.040275489529614,7.97051278147986,6.946861047990819,7.4129009253013995,7.4434842328659,8.785918617228157,7.815903805229542,6.666695900582707,7.267573085746471,6.287039850274842,6.803522212325046
20241106-297-Dunn-26,6.659178415337315,7.592228911008514,0.0,4.815887753406619,6.385923316484166,7.595570497679781,4.516136009749004,5.540776737091366,5.908289947119011,7.517810982840137,4.186538181574223,7.271424831667741,9.612681167073637,10.333903692386075,4.821888201524434,8.56433801820539,8.269467630369187,6.880419456713971,4.463824194504718,5.107970429499551,3.8365315388817818,8.072337851424738,4.782073307445242,6.193900627360368,6.8741319288926,7.922530654774538,4.407561420301324,7.303690118629402,7.022562152601821,4.898317451129216,8.191807120854207,6.1581911058932155,4.822213548805121,6.74240898366312,8.799251590911398,7.6406186998705925,7.146543948301479,10.678051785117,4.756425932363688,10.59758635242486,6.867549344595874,4.877563028084073,4.374199404075442,10.004462638989587,7.926699968874415,7.031648392203043,7.324301069687625,7.361730381969409,8.777191132078881,7.846902694448409,6.681071360352475,7.210573872696083,6.431284486576366,6.946104497763934
