sample,total_signal,log10_total_signal_plus1,detected_features,detection_rate,zero_fraction,mean_feature_intensity_nonzero,class,id,order,batch,spearman_corr_to_class_median,log10_total_signal_plus1_robust_z,detected_features_robust_z,zero_fraction_robust_z,spearman_corr_to_class_median_robust_z,outlier_total_signal,outlier_detected_features,outlier_zero_fraction,outlier_class_profile,any_outlier_flag
20241106-297-QC2,609333.5993338759,5.784855839002787,252,1.0,0.0,2417.990473547126,QC,20241106-297-QC2,13,1,0.9837225476871162,-1.4626031688191454,0.6745,-0.6745,-0.37955234055063297,False,False,False,False,False
20241106-297-QC3,925994.1588036106,5.966608716152373,249,0.9880952380952381,0.011904761904761904,3718.852043387993,QC,20241106-297-QC3,14,1,0.9907263369558669,1.1774598634555167,-1.349,1.349,0.2994897915847447,False,False,False,False,False
20241106-297-Dunn-20,952475.588578537,5.97885430972707,251,0.996031746031746,0.003968253968253968,3794.7234604722566,Dunn,20241106-297-Dunn-20,15,1,0.9757767304163399,1.3553340155010447,0.0,0.0,-1.1499274181075378,False,False,False,False,False
20241106-297-French-2,772713.2424050746,5.888018917086402,252,1.0,0.0,3066.322390496328,French,20241106-297-French-2,16,1,0.9917915358298492,0.035898714702964345,0.6745,-0.6745,0.4027645885242334,False,False,False,False,False
20241106-297-LMU-8,677481.7558954885,5.830898245502541,251,0.996031746031746,0.003968253968253968,2699.1305015756543,LMU,20241106-297-LMU-8,17,1,0.9842892480568161,-0.7938112507857223,0.0,0.0,-0.3246087360878533,False,False,False,False,False
20241106-297-Dunn-17,685558.0375562403,5.836044860410544,251,0.996031746031746,0.003968253968253968,2731.3069225348213,Dunn,20241106-297-Dunn-17,18,1,0.9907407806644444,-0.7190537670360226,0.0,0.0,0.30089016019837095,False,False,False,False,False
20241106-297-Dunn-7,840205.5076425866,5.924386040951462,252,1.0,0.0,3334.1488398515326,Dunn,20241106-297-Dunn-7,19,1,0.9932513486898336,0.564151696510117,0.6745,-0.6745,0.5442986066000246,False,False,False,False,False
20241106-297-French-18,684719.2692267313,5.835513184129958,252,1.0,0.0,2717.139957248934,French,20241106-297-French-18,20,1,0.9884324881661659,-0.7267766648273828,0.6745,-0.6745,0.07709304131351026,False,False,False,False,False
20241106-297-Dunn-1,815696.0970256847,5.91152891670465,250,0.9920634920634921,0.007936507936507936,3262.784388102738,Dunn,20241106-297-Dunn-1,21,1,0.9947006608239909,0.3773947166058315,-0.6745,0.6745,0.684814542180625,False,False,False,False,False
20241106-297-French-25,824147.3272928225,5.916005381512169,252,1.0,0.0,3270.425901955642,French,20241106-297-French-25,22,1,0.9960971090411933,0.4424178922438327,0.6745,-0.6745,0.8202051341072899,False,False,False,False,False
20241106-297-French-7,769267.4423821433,5.886077916786625,252,1.0,0.0,3052.6485808815223,French,20241106-297-French-7,23,1,0.9963948078183973,0.007704590805496797,0.6745,-0.6745,0.8490680830981502,False,False,False,False,False
20241106-297-Dunn-21,1034690.8149202509,6.014811013551121,251,0.996031746031746,0.003968253968253968,4122.274163028888,Dunn,20241106-297-Dunn-21,24,1,0.9928734137182695,1.877625414773909,0.0,0.0,0.5076564748836411,False,False,False,False,False
20241106-297-French-13,766300.9017272723,5.884399903344283,252,1.0,0.0,3040.876594155842,French,20241106-297-French-13,25,1,0.9966265179497727,-0.016669500687645274,0.6745,-0.6745,0.871533199567114,False,False,False,False,False
20241106-297-QC4,917679.7485763315,5.962691621020277,252,1.0,0.0,3641.5863038743287,QC,20241106-297-QC4,26,1,0.9920110561061077,1.1205618477853867,0.6745,-0.6745,0.42404785544127205,False,False,False,False,False
20241106-297-French-16,802447.0067492332,5.904416902617823,251,0.996031746031746,0.003968253968253968,3197.0000268893755,French,20241106-297-French-16,27,1,0.9964810429805597,0.27408870148181474,0.0,0.0,0.857428886962009,False,False,False,False,False
20241106-297-LMU-26,828991.9079092058,5.918550815147292,249,0.9880952380952381,0.011904761904761904,3329.284770719701,LMU,20241106-297-LMU-26,28,1,0.9825287266681939,0.4793917511812393,-1.349,1.349,-0.4952975091972656,False,False,False,False,False
20241106-297-Dunn-5,660545.3553439946,5.819903300623804,252,1.0,0.0,2621.211727555535,Dunn,20241106-297-Dunn-5,29,1,0.9923357562289613,-0.9535190252731743,0.6745,-0.6745,0.45552868035855837,False,False,False,False,False
20241106-297-LMU-24,743017.0812415819,5.870999382384934,250,0.9920634920634921,0.007936507936507936,2972.0683249663252,LMU,20241106-297-LMU-24,30,1,0.9767972613161068,-0.21131962426661283,-0.6745,0.6745,-1.050983339195906,False,False,False,False,False
20241106-297-French-11,860629.2462416728,5.9348166049873345,252,1.0,0.0,3415.195421593941,French,20241106-297-French-11,31,1,0.9948178291572881,0.7156615209967858,0.6745,-0.6745,0.6961744263530235,False,False,False,False,False
20241106-297-LMU-10,859465.5725461195,5.934228990224846,251,0.996031746031746,0.003968253968253968,3424.1656276737826,LMU,20241106-297-LMU-10,32,1,0.9907895119179632,0.7071260852117027,0.0,0.0,0.3056148275207687,False,False,False,False,False
20241106-297-Dunn-4,981789.1253976716,5.9920186597592995,251,0.996031746031746,0.003968253968253968,3911.51045975168,Dunn,20241106-297-Dunn-4,33,1,0.996149600009466,1.5465536231852155,0.0,0.0,0.8252943190678854,False,False,False,False,False
20241106-297-Dunn-23,927529.9055953126,5.967328389344644,252,1.0,0.0,3680.674228552827,Dunn,20241106-297-Dunn-23,34,1,0.9953504241459199,1.1879135224018336,0.6745,-0.6745,0.7478113935385962,False,False,False,False,False
20241106-297-French-9,767390.6774937417,5.885017084882961,252,1.0,0.0,3045.2011011656436,French,20241106-297-French-9,35,1,0.9947938332860776,-0.007704590805509698,0.6745,-0.6745,0.6938479417995947,False,False,False,False,False
20241106-297-Dunn-11,785249.4991756352,5.895008221147148,251,0.996031746031746,0.003968253968253968,3128.4840604607007,Dunn,20241106-297-Dunn-11,36,1,0.9967285004024171,0.1374222975011441,0.0,0.0,0.8814207589191644,False,False,False,False,False
20241106-297-Dunn-26,891005.8379207974,5.949881036988474,250,0.9920634920634921,0.007936507936507936,3564.0233516831872,Dunn,20241106-297-Dunn-26,37,1,0.9948813797629232,0.9344808907484483,-0.6745,0.6745,0.7023358822582588,False,False,False,False,False
20241106-297-QC5,846645.6322411803,5.9277021851954945,252,1.0,0.0,3359.7048898459525,QC,20241106-297-QC5,38,1,0.9955262689225289,0.6123205616508622,0.6745,-0.6745,0.7648601663459437,False,False,False,False,False
20241106-297-Dunn-19,937951.0719982926,5.972180647122704,251,0.996031746031746,0.003968253968253968,3736.8568605509663,Dunn,20241106-297-Dunn-19,39,1,0.9946211765023476,1.2583953028491381,0.0,0.0,0.677108256173305,False,False,False,False,False
20241106-297-French-19,808372.1695864677,5.907611890575682,250,0.9920634920634921,0.007936507936507936,3233.488678345872,French,20241106-297-French-19,40,1,0.9967395603881286,0.32049770324504234,-0.6745,0.6745,0.8824930636374727,False,False,False,False,False
20241106-297-French-20,742867.4905185744,5.870911937721256,251,0.996031746031746,0.003968253968253968,2959.6314363289816,French,20241106-297-French-20,41,1,0.9892875266979166,-0.21258980731717386,0.0,0.0,0.1599920500327555,False,False,False,False,False
20241106-297-LMU-17,739784.7879643352,5.869105983821829,247,0.9801587301587301,0.01984126984126984,2995.080113215931,LMU,20241106-297-LMU-17,42,1,0.9933379263204885,-0.23882230609597244,-2.698,2.698,0.5526926139950551,False,False,False,False,False
20241106-297-Dunn-12,785285.2668881685,5.895028002562677,249,0.9880952380952381,0.011904761904761904,3153.756091920355,Dunn,20241106-297-Dunn-12,43,1,0.9824760579996817,0.13770963371657277,-1.349,1.349,-0.5004039228243583,False,False,False,False,False
20241106-297-LMU-12,773701.9418742921,5.888574248191893,250,0.9920634920634921,0.007936507936507936,3094.807767497166,LMU,20241106-297-LMU-12,44,1,0.9866562184528143,0.04396521216518648,-0.6745,0.6745,-0.09512258755805289,False,False,False,False,False
20241106-297-LMU-20,797240.7275372376,5.901590021544888,248,0.9841269841269841,0.015873015873015872,3214.680352972733,LMU,20241106-297-LMU-20,45,1,0.9938371680599347,0.23302665980008286,-2.0235,2.0235,0.6010958657486646,False,False,False,False,False
20241106-297-French-6,719275.4792866964,5.856895858878552,252,1.0,0.0,2854.2677749472073,French,20241106-297-French-6,46,1,0.9838232209170684,-0.416181256269119,0.6745,-0.6745,-0.36979171496746144,False,False,False,False,False
20241106-297-French-15,664125.9290060549,5.822251090360246,252,1.0,0.0,2635.4203531986273,French,20241106-297-French-15,47,1,0.9862318064898132,-0.9194160554168415,0.6745,-0.6745,-0.13627082791785816,False,False,False,False,False
20241106-297-Dunn-8,701308.9039707904,5.845909972093552,252,1.0,0.0,2782.9718411539284,Dunn,20241106-297-Dunn-8,48,1,0.9870429769883996,-0.5757574568371164,0.6745,-0.6745,-0.05762498011329419,False,False,False,False,False
20241106-297-Dunn-25,821952.6091972783,5.914847306788013,250,0.9920634920634921,0.007936507936507936,3287.810436789111,Dunn,20241106-297-Dunn-25,49,1,0.990974551249074,0.4255962038292963,-0.6745,0.6745,0.323555044895241,False,False,False,False,False
20241106-297-QC6,922695.6044185647,5.965058922383179,252,1.0,0.0,3661.490493724465,QC,20241106-297-QC6,50,1,0.9720193039357726,1.154948235018781,0.6745,-0.6745,-1.514223200119478,False,False,False,False,False
20241106-297-French-24,794051.5563926246,5.8998492482657925,252,1.0,0.0,3150.998239653273,French,20241106-297-French-24,51,1,0.9867314055397424,0.2077409462873897,0.6745,-0.6745,-0.08783293364963117,False,False,False,False,False
20241106-297-LMU-14,732385.5577515707,5.864740364646738,251,0.996031746031746,0.003968253968253968,2917.8707480142266,LMU,20241106-297-LMU-14,52,1,0.9910459697587037,-0.3022353864163498,0.0,0.0,0.3304793219104435,False,False,False,False,False
20241106-297-French-14,771545.5011501425,5.887362106140339,251,0.996031746031746,0.003968253968253968,3073.8864587655057,French,20241106-297-French-14,53,1,0.9811248031355168,0.02635816533125784,0.0,0.0,-0.6314128593888597,False,False,False,False,False
20241106-297-Dunn-24,1008243.7479418545,6.0035659683976705,250,0.9920634920634921,0.007936507936507936,4032.9749917674185,Dunn,20241106-297-Dunn-24,54,1,0.9969761447251955,1.7142847927630096,-0.6745,0.6745,0.9054307515814121,False,False,False,False,False
20241106-297-Dunn-2,678874.355202194,5.831790043032962,250,0.9920634920634921,0.007936507936507936,2715.497420808778,Dunn,20241106-297-Dunn-2,55,1,0.9883267563388238,-0.7808573887657035,-0.6745,0.6745,0.06684196682826328,False,False,False,False,False
20241106-297-LMU-25,654573.6172667944,5.815959160466796,250,0.9920634920634921,0.007936507936507936,2618.2944690671798,LMU,20241106-297-LMU-25,56,1,0.9854551112670739,-1.0108098851810365,-0.6745,0.6745,-0.2115741758386026,False,False,False,False,False
20241106-297-French-12,701179.7216963056,5.845829967068063,252,1.0,0.0,2782.4592130805777,French,20241106-297-French-12,57,1,0.9655323551639254,-0.5769195749477192,0.6745,-0.6745,-2.143155818743771,False,False,False,False,False
20241106-297-LMU-5,689450.5420410995,5.838503747286763,246,0.9761904761904762,0.023809523809523808,2802.644479841866,LMU,20241106-297-LMU-5,58,1,0.9889966836879177,-0.6833370485759924,-3.3725,3.3725,0.13179379191160928,False,False,False,False,False
20241106-297-Dunn-9,813127.5697830018,5.9101592205419795,249,0.9880952380952381,0.011904761904761904,3265.5725694096436,Dunn,20241106-297-Dunn-9,59,1,0.9892170347571679,0.3574991074621162,-1.349,1.349,0.1531576071465404,False,False,False,False,False
