feature,detection_rate__all,detection_rate__B,detection_rate__SS,detection_rate__dQC,detection_rate__QC,detection_rate__Dunn,detection_rate__French,detection_rate__LMU,detection_rate__biological,detection_rate__qc_like,detection_rate__blank,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-011,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1211.8279152595003,1211.899520416236,1211.762666802262,0.0363039936634745,874.6133425350365,886.9604836740813,876.7821117479145,872.0452383104141,863.3168395873045,1.2291365451074237
FT-012,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1210.8240555433492,1210.8955600828046,1210.7624399714518,0.0348255069275807,874.6067099501091,886.9375662181682,876.9385692997641,872.1006850718126,862.2934988270636,1.2505477918517685
FT-018,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1372.9191123009864,1372.997683690058,1372.8485441828032,0.0401136096641405,980.422438027575,998.3599555885412,983.254920699392,977.8447214040514,967.5379132700484,1.3146068155169774
FT-020,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,842.5773942493681,842.624259465518,842.5350038070779,0.0247858919562459,963.3235892455184,994.1845837268208,966.0232942432688,960.7144273833812,947.501450842558,1.2969596479291814
FT-023,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1373.9225103480585,1374.0029575632857,1373.8540674237456,0.0405870910542427,980.4212867734888,997.417253063569,983.3517791601566,977.5795583957146,968.2150490053244,1.401590404635891
FT-025,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,843.080105891697,843.1277631649815,843.0381621542712,0.0247628776573223,963.2439588234024,988.1751993200248,965.7639074749648,960.7361998439518,947.918078663588,1.3047236827776925
FT-027,0.9411764705882353,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,944.1420067072388,944.1949828507568,944.0933831173212,0.0274536438076089,1013.8565207197244,1035.1988995593508,1016.3542223052108,1011.098491583856,998.5545121068548,1.2940592342849382
FT-036,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,924.1258325459404,924.1798853197248,924.080169273414,0.0264606354907274,1071.4321892574976,1092.4735550258451,1073.9285036159004,1068.937950833161,1064.7293012038544,1.2463305407572942
FT-042,0.9411764705882353,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1025.1886386302892,1025.247027968808,1025.1370733359656,0.0298006748993319,1107.3546178711229,1123.5890952400546,1110.207654223817,1104.6921888972022,1102.8541050786582,1.4123877129358002
FT-076,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1076.70024884105,1076.7625959678255,1076.6463274354337,0.0309426276442148,1212.7298144435597,1251.1490926434903,1215.2321951852618,1209.9909453942582,1194.3964262931574,1.275060245925924
FT-080,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1077.2019763854523,1077.2646319544158,1077.148303148349,0.0310974533514366,1212.614388815364,1250.3539242951745,1214.840334866664,1209.9427795653692,1195.7557470902184,1.2170096262148369
