feature,blank_mean_intensity,blank_median_intensity,blank_detection_rate,qc_mean_intensity,qc_median_intensity,qc_detection_rate,bio_mean_intensity,bio_median_intensity,bio_detection_rate,blank_to_qc_ratio,blank_to_bio_ratio,log10_blank_to_qc_ratio,log10_blank_to_bio_ratio,blank_dominant_flag,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-134,0.0,0.0,0.0,95.52808774190564,84.56507456310739,1.0,83.18145241168834,82.25952089456342,1.0,0.010359678963844956,0.011879101290739349,-1.984653702736627,-1.925216414509416,False,1088.3568018363508,1088.4270703314248,1088.290582748391,0.0345227235842915,1473.517094540187,1482.6548940485163,1476.0500895172927,1470.3533129077691,1467.699538144199,1.4751542512680245
FT-242,0.0,0.0,0.0,89.71860351470247,91.53139993725489,1.0,85.96631190637703,83.2074829832052,1.0,0.011023097372061435,0.011498705396137104,-1.9576963562476106,-1.9393510527736157,False,1083.0169631809986,1083.0848216619854,1082.950362254375,0.0368602131796223,1422.690822712629,1429.628389935163,1425.145367036958,1420.289303760063,1413.690671698993,1.3914501278972984
FT-241,0.0,0.0,0.0,75.5960270019099,79.76066116487233,1.0,90.31917803057122,82.19205576344362,1.0,0.013055507434805531,0.010950602289315686,-1.8842062435765268,-1.9605619937249674,False,1083.3479141235127,1083.4274300384948,1083.284999164605,0.0411502899069144,1473.3785589320328,1482.4898161206963,1474.8711895611846,1471.0252971599662,1467.2716426849436,1.1772538924513325
FT-202,0.8118030693812693,0.0,0.16666666666666666,157.84461632562994,165.24431119356984,1.0,176.86390750941004,173.5005487029588,1.0,0.011406134569062703,0.01018645713316185,-1.942861508933921,-1.9919768380798348,False,1033.9870057402484,1034.0472286109705,1033.928817254043,0.0317203756271548,1386.1519996372765,1394.7988818241977,1389.2728290402838,1383.1683020518017,1377.1626443129362,1.4789205614544831
FT-245,0.0,0.0,0.0,88.51679395190241,96.68840659678007,1.0,97.43522743996625,93.14944058806822,1.0,0.011171088193097067,0.010158964691882088,-1.951904519521957,-1.9931505490907713,False,1083.02130840629,1083.085385012217,1082.9524375265098,0.0367501395346961,1473.1330249701502,1482.318571374777,1476.1689162150667,1469.9701177376287,1466.9295087773758,1.491661240294952
FT-132,0.0,0.0,0.0,183.03596224489058,94.62557347649006,1.0,100.26013738311593,94.5613962598702,1.0,0.005433720604396509,0.009875554446628071,-2.2649026962619616,-2.005438512273503,False,1088.3549855574815,1088.4235585769136,1088.2966321686972,0.034138899170978,1438.8098367577045,1443.9222989763543,1441.2888604137547,1435.8971073917498,1431.0580607822933,1.1606352416236407
FT-172,0.0,0.0,0.0,44.86338354956652,51.36593806905783,0.8125,104.85633871737188,22.28802452557758,0.8607594936708861,0.02180388629459179,0.009446765419215202,-1.6614660914471344,-2.02471686885098,False,886.6352611425967,886.6797677782474,886.5887702166918,0.0241624875229154,674.1885161473726,683.2720027250376,679.4295417213385,668.2875055110654,665.7916876848988,2.238306369755907
FT-200,0.0,0.0,0.0,118.20702815776716,100.9150060380462,1.0,109.5721996947653,105.71491756291591,1.0,0.008388767134405265,0.00904386457681498,-2.0763018611102297,-2.0436459494206973,False,1039.6606356714726,1039.7152117448236,1039.609987920612,0.0285971293977563,1386.5689310879638,1396.528175354006,1389.322205274966,1383.8648933908498,1377.2603266789347,1.358794537316638
FT-051,0.0,0.0,0.0,112.01591078476525,117.31324906656232,1.0,117.82943627322548,112.46531165475662,1.0,0.008848311649715094,0.008415423243283692,-2.0531395893205753,-2.07492403683608,False,1069.2050570468462,1069.267470109953,1069.1500824304103,0.0309242309640597,1157.7638325982018,1163.3854165077216,1160.088364981479,1155.2213391757566,1149.20816373825,1.1956236333629695
FT-192,0.0,0.0,0.0,110.81134070934324,124.97371740300707,1.0,120.2642034273279,117.2424038226507,1.0,0.008943636608378826,0.008246456676716533,-2.048485855050451,-2.083732618275113,False,1068.7037715820934,1068.7709537862363,1068.644656968828,0.0326297049075302,1157.8147203461158,1163.3792711145747,1159.779912946269,1155.301746795193,1149.5256244435009,1.1713404979799975
FT-210,0.0,0.0,0.0,90.3952652679282,101.32532683965002,0.875,124.5584970522477,119.13262832224048,0.9493670886075949,0.010941485831552297,0.00796441518078922,-1.9609236976892621,-2.098846108510786,False,293.1831414699142,293.1996029087832,293.16727975808595,0.0086518209989555,674.6181627077369,683.8307102655976,677.6995786520689,671.0613470701732,665.6266603631451,1.7099955693838589
FT-153,0.0,0.0,0.0,141.39530207407512,130.16797181122774,1.0,127.14933597308323,127.14840145175788,1.0,0.007022703596497815,0.007803395877213458,-2.1534956612322853,-2.107716360157618,False,1088.6918828508271,1088.7513371347547,1088.6296921898063,0.0323400428121432,1473.446015556528,1483.6614707498018,1476.5098227948197,1470.4869684703458,1467.3194005629591,1.339608092953679
FT-217,0.0,0.0,0.0,115.9467520052329,110.55919589885201,1.0,128.2173427878394,101.30105518637257,1.0,0.008550900156297236,0.007738899271763307,-2.067988164530869,-2.111320806008871,False,1089.0287993120237,1089.0950065180127,1088.970820326633,0.030458456101534,1473.4388815633502,1483.5051296283675,1476.2821695524506,1470.872925663907,1466.9955052957894,1.2981758393010991
FT-072,0.0,0.0,0.0,122.36489085503719,119.15471801266052,1.0,129.28717828347777,124.08935900618796,1.0,0.00810603400261646,0.007675352349900527,-2.0911915788428175,-2.1149016783778065,False,1252.819559504331,1252.8923288346316,1252.7474352137208,0.0360234419531445,1252.123154423304,1259.34100136828,1254.3494914890537,1249.7181801223417,1244.226415264071,1.2333870429369769
FT-115,0.0,0.0,0.0,133.8988169299706,136.16437214888293,1.0,133.8885582225211,133.57747571529782,1.0,0.007412963454817587,0.0074135272344621975,-2.13000814090216,-2.129975112669935,False,1151.2577144686827,1151.3262326936172,1151.1904885859722,0.0345722197950819,1279.5426959634483,1288.5432278668477,1281.9849407416823,1276.8114177037737,1271.368124220108,1.3332454669452618
FT-136,0.0,0.0,0.0,150.17727872789396,134.59316491145952,1.0,144.31886713671284,137.0715623954352,1.0,0.006614750631937975,0.006881418907974432,-2.1794865235421867,-2.1623220035714086,False,1040.0009583626654,1040.0569257891393,1039.9470140830122,0.0281851224878726,1386.0494617442523,1396.068245569866,1387.9975391137882,1383.8138140663868,1376.509656906129,1.1247046995250976
FT-190,0.0,0.0,0.0,160.33641639661067,151.9549635877053,1.0,147.07523422058966,141.86339787390904,1.0,0.006198228659930789,0.006753323776684267,-2.2077324061679846,-2.1704824282664115,False,996.1598538662096,996.22030685846,996.1126477514904,0.0282638266067295,1120.0790796707618,1125.9807273319786,1122.1649823760506,1118.0374858521734,1110.9794875553678,1.0179829325467225
FT-151,0.0,0.0,0.0,155.02049247926035,140.5419345759604,1.0,147.9157945693037,148.7591151647598,1.0,0.006409414456456282,0.006715204407243797,-2.193181644419644,-2.172940763101457,False,1088.6951060782058,1088.7596143680532,1088.630881136988,0.0330279363335156,1438.8803038529063,1444.1661421831948,1441.2777670267333,1436.5525669265598,1430.835098715389,1.1930280235989963
