feature,n_qc_samples,qc_detection_rate,qc_mean_intensity,qc_median_intensity,qc_std_intensity,qc_cv_pct,qc_mean_intensity_batch1,qc_cv_pct_batch1,qc_order_spearman_rho,qc_order_spearman_abs,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-105,16,1.0,41415.38659143461,42033.7279151323,5888.3866504251355,14.217871991669279,41415.38659143461,14.217871991669279,0.4264705882352941,0.4264705882352941,1222.2792600253013,1222.3523829534292,1222.2154645351295,0.0356384043734069,1300.11549170832,1340.2901754940272,1302.463122605168,1297.468351311746,1283.18202748018,1.2617595384120577
FT-168,16,1.0,4360.541664934453,4332.016043405272,619.9969412724415,14.218346914517126,4360.541664934453,14.218346914517126,-0.15882352941176472,0.15882352941176472,1336.3262451050714,1336.405389862383,1336.2566589899025,0.0391003658010661,1551.2877356272045,1571.0304137199175,1553.9989897891342,1548.747391469725,1537.806266046342,1.2870543607151437
FT-158,16,1.0,994.754597744716,972.6914418253132,144.02377253535332,14.478321875755146,994.754597744716,14.478321875755146,0.22058823529411767,0.22058823529411767,1256.286883804324,1256.3617691443733,1256.218970839692,0.0384284633284264,1499.1705919535325,1512.5175795444216,1501.7481985790696,1496.5087130770617,1486.488871019942,1.2082867332128768
FT-162,16,1.0,5599.462218843057,5631.525312523547,825.6104188512567,14.744459138824974,5599.462218843057,14.744459138824974,0.34411764705882353,0.34411764705882353,1254.277029107562,1254.349588244185,1254.211046464982,0.0362667749806767,1499.404825285124,1520.6643017478634,1501.897377148848,1496.650283258094,1481.8052038939109,1.2653251053731978
FT-155,16,1.0,1087.7698336030307,1110.8071906902096,163.93197685538823,15.070465441424748,1087.7698336030307,15.070465441424748,-0.5205882352941177,0.5205882352941177,1266.2831822007336,1266.3496637437588,1266.2194012278928,0.0351803559518064,1499.1248349190344,1514.2912847345538,1501.8993996529623,1496.2190622803143,1483.236571225258,1.3516557316872444
FT-166,16,1.0,2406.167023633026,2369.1872348909765,368.0664889117679,15.296797158994861,2406.167023633026,15.296797158994861,-0.011764705882352941,0.011764705882352941,1336.829587591733,1336.9071768270933,1336.758166890643,0.0395924658268704,1551.163342823527,1568.0353767641172,1553.9326980453293,1548.4241335389538,1538.6801701207305,1.3142761731910406
FT-170,16,1.0,5970.165276770475,6129.233150260483,915.552603344762,15.335464947798307,5970.165276770475,15.335464947798307,-0.2647058823529412,0.2647058823529412,1335.8228921318928,1335.9020610217854,1335.7547405936011,0.0383352462187882,1551.4213307481,1575.553642272948,1553.910653186191,1548.7607078924857,1537.0798873901392,1.2195413220166411
FT-150,16,1.0,1532.540603133753,1554.3972340305581,239.30332019925703,15.614811099290122,1532.540603133753,15.614811099290122,-0.5852941176470587,0.5852941176470587,1265.276619401272,1265.3482895517168,1265.213020467754,0.0356112029110038,1499.076621782328,1513.241326649982,1501.4315327110053,1496.6076603409624,1483.3374252319345,1.197063759265388
FT-160,16,1.0,6247.629484689547,6169.981719483993,975.7574127035857,15.618042252582018,6247.629484689547,15.618042252582018,0.3382352941176471,0.3382352941176471,1254.7781749513174,1254.8523767229926,1254.7118032564333,0.0370579768691196,1499.4061441213764,1520.9206245256487,1501.9742033461912,1496.7452153750164,1480.487733923874,1.258887658077959
FT-023,16,1.0,1768.6488499031534,1813.7834149393975,283.99433121744136,16.057134870666506,1768.6488499031534,16.057134870666506,-0.18823529411764706,0.18823529411764706,1373.9225103480585,1374.0029575632857,1373.8540674237456,0.0405870910542427,980.4212867734888,997.417253063569,983.3517791601566,977.5795583957146,968.2150490053244,1.401590404635891
FT-093,16,1.0,2081.5751006820055,2028.6333076936762,335.1326678321719,16.099955640436384,2081.5751006820055,16.099955640436384,0.33529411764705885,0.33529411764705885,1233.7846794103978,1233.854648992817,1233.7185235688678,0.0352441991492743,1299.2759946740543,1319.445562362675,1301.19133468601,1296.8841705286684,1284.2519822328006,1.1438939901940073
FT-135,16,1.0,1396.4444657974168,1406.1072395378105,225.4038807106951,16.141270650672233,1396.4444657974168,16.141270650672233,0.4382352941176471,0.4382352941176471,1173.2301124568482,1173.299758045921,1173.174174305768,0.03387592307933,1442.9947789043065,1461.5335927384624,1446.522009722994,1439.6890407160083,1429.7166348575215,1.5507356932126253
FT-142,16,1.0,30210.204891719182,30609.10133181999,4878.838079115107,16.149635848555363,30210.204891719182,16.149635848555363,0.44705882352941173,0.44705882352941173,1223.287004668688,1223.356662280608,1223.2239895857,0.0347578187101029,1299.8451740769872,1340.5209657420266,1302.243180167931,1297.343779084556,1283.3566960044554,1.2104519752257064
