batch,class,n_samples,median_total_signal,mean_total_signal,median_detected_features,mean_detected_features,median_zero_fraction,mean_corr_to_class_median
1,B,6,24.68025701643196,26.663722710849612,5.5,4.833333333333333,0.9781746031746031,0.3824496768206564
1,Dunn,27,813127.5697830018,815796.8831889923,251.0,250.40740740740742,0.003968253968253968,0.9837702701224512
1,French,26,768329.0599379425,774511.8687907632,252.0,251.5,0.0,0.9848574265600203
1,LMU,26,741400.9346029586,747289.8310682701,249.0,248.3846153846154,0.011904761904761904,0.9690516563652168
1,QC,11,773821.3997962214,795185.9644917636,251.0,250.54545454545453,0.003968253968253968,0.9731480226007826
1,SS,1,241703.3389053496,241703.3389053496,64.0,64.0,0.746031746031746,0.9999999999999999
1,dQC,5,633451.3013756614,663226.167046421,251.0,250.2,0.003968253968253968,0.9806683138202515
