task_name,positive_class,negative_class,feature,n_positive,n_negative,median_transformed_positive,median_transformed_negative,median_diff_transformed,mean_diff_transformed,raw_median_positive,raw_median_negative,raw_log2_fc,u_statistic,p_value,auc_positive_class,auc_abs,rank_biserial,cliffs_delta,positive_detection_rate_raw,negative_detection_rate_raw,detection_rate_diff_raw,q_value,neglog10_q,effect_direction,significant_fdr_05,qc_mean_intensity,qc_std_intensity,qc_cv_pct,qc_log_sd,qc_detection_rate,Dunn_mean_intensity,Dunn_std_intensity,Dunn_cv_pct,Dunn_log_sd,Dunn_detection_rate,French_mean_intensity,French_std_intensity,French_cv_pct,French_log_sd,French_detection_rate,LMU_mean_intensity,LMU_std_intensity,LMU_cv_pct,LMU_log_sd,LMU_detection_rate,bio_cv_pct_median,bio_cv_pct_max,bio_log_sd_median,bio_detection_rate_median,bio_detection_rate_min,d_ratio_cv,d_ratio_log,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std,detection_rate__Dunn,detection_rate__French,detection_rate__LMU,blank_mean_intensity,blank_detection_rate,qc_mean_intensity_cont,bio_mean_intensity,blank_to_qc_ratio,blank_to_bio_ratio,blank_dominant_flag,carryover_spearman_rho,n_blank_contexts,bio_detection_rate_max,passes_mz_500,passes_qc_cv_30,passes_detection_70_any_class,passes_detection_70_all_classes,blank_dominant_veto,potential_carryover_flag,retained_main,retained_high_confidence,exclusion_reason,rank_within_task,feature_space
French_vs_Dunn,French,Dunn,FT-046,26,26,8.93113251749807,8.782871169890429,0.1482613476076402,0.16515957832930006,7677.886994371379,6809.890684614646,0.17305373968500407,676.0,6.547526643655622e-10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.767832193787018e-08,7.752558961478516,French > Dunn,True,6610.777976966396,882.4985701415895,13.349390543993996,0.1369811487358044,1.0,6917.041036523019,1029.6813517947776,14.88615357864591,0.1477540765815728,1.0,7712.581031773899,751.1978769822063,9.739902555155783,0.0968400165926968,1.0,4497.696904549683,660.8527451943933,14.693136492276794,0.1496327238329179,1.0,14.693136492276794,14.88615357864591,0.1477540765815728,1.0,1.0,0.9085460106499986,0.9270887944684166,1004.1671268211272,1004.2261217749128,1004.1153691754812,0.0293680548858246,1156.358765017695,1178.0238250061675,1158.835709078045,1153.6774251130128,1138.0932935777616,1.2480085387190163,1.0,1.0,1.0,0.0,0.0,5583.736964527925,6382.624485196641,0.0001790594626661,0.0001566508184055,False,,5,1.0,True,True,True,True,False,False,True,True,retained,1,high
French_vs_Dunn,French,Dunn,FT-050,26,26,8.880328698130135,8.731302385403577,0.14902631272655853,0.16341460891104198,7251.6257165486195,6620.229924845053,0.13140416885507183,676.0,6.547526643655622e-10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.767832193787018e-08,7.752558961478516,French > Dunn,True,6227.326577897577,889.3394364031454,14.28123971464168,0.1481178661026975,1.0,6581.1352570758845,976.5986958541667,14.839365211407111,0.1504386314876479,1.0,7323.356623935527,729.2654193675152,9.95807601372296,0.1000532254249698,1.0,4250.654481007634,631.9083081377187,14.866141460359827,0.1510288355989158,1.0,14.839365211407111,14.866141460359827,0.1504386314876479,1.0,1.0,0.9623888563416176,0.9845733415546192,1004.669623849698,1004.7279192531678,1004.6184698161242,0.0294407585087183,1156.3925786840523,1179.3259458956536,1158.8210746310124,1153.76426801242,1138.7118691983476,1.295796204185867,1.0,1.0,1.0,0.0,0.0,5273.683060561079,6058.416970500901,0.0001895848506002,0.0001650323793309,False,,5,1.0,True,True,True,True,False,False,True,True,retained,2,high
French_vs_Dunn,French,Dunn,FT-043,26,26,8.346827188108064,8.201503526914355,0.145323661193709,0.15360131655541132,4236.224400434798,3909.4016634320087,0.11580273087097337,670.0,1.3044763770918793e-09,0.9911242603550297,0.9911242603550297,0.9822485207100591,0.9822485207100592,1.0,1.0,0.0,2.348057478765383e-08,7.629291276076427,French > Dunn,True,3673.4484500965054,515.6823455472766,14.038099419463173,0.1443753891704913,1.0,3876.9053153964496,617.4300280197714,15.925847494076171,0.1593609127292718,1.0,4275.790561019544,477.8174094852651,11.174948881764957,0.108745086451523,1.0,2479.727802149605,391.1012205210839,15.77194158899414,0.1613811788650551,1.0,15.77194158899414,15.925847494076171,0.1593609127292718,1.0,1.0,0.8900679310947446,0.9059648736811744,1005.172041771252,1005.2308196005796,1005.1142487241556,0.029859711948434,1156.3855354906916,1177.111414619113,1158.8826604052406,1153.7486667864507,1140.2857042395556,1.3065927903911043,1.0,1.0,1.0,0.0,0.0,3118.8095264918284,3548.3534298493914,0.0003205323887591,0.0002817414551028,False,,5,1.0,True,True,True,True,False,False,True,True,retained,3,high
French_vs_Dunn,French,Dunn,FT-056,26,26,7.792662927208674,7.910201305295191,-0.11753837808651646,-0.1452862850355814,2407.1025042455885,2927.535810732721,-0.28228273239072305,14.0,3.2109097425487136e-09,0.020710059171597624,0.9792899408284024,-0.9585798816568047,-0.9585798816568047,1.0,1.0,0.0,4.334728152440763e-08,7.363038133619576,French < Dunn,True,2788.1660946357697,462.4385414829106,16.585760165888576,0.168154494327205,1.0,2975.833522177238,518.5589672499494,17.425671274465348,0.1718737894296348,1.0,2432.6862108110627,308.0027308638646,12.661013553456852,0.1276400845836562,1.0,2496.4985602396814,487.78693280579375,19.53884294485485,0.1881914209821631,1.0,17.425671274465348,19.53884294485485,0.1718737894296348,1.0,1.0,0.9518003584856136,0.9783603124433792,1178.2689676482953,1178.3381296315554,1178.209676243099,0.0346187918603327,1244.9133772041282,1263.400026280825,1247.491725418386,1242.276386378739,1231.3467261131775,1.2773380949643511,1.0,1.0,1.0,0.0,0.0,2542.598814284542,2639.320368938036,0.0003931437593004,0.0003787419177477,False,,5,1.0,True,True,True,True,False,False,True,True,retained,4,high
French_vs_Dunn,French,Dunn,FT-233,26,26,6.753384379003833,6.879042982853265,-0.1256586038494314,-0.137298327156123,849.7907594355072,1047.7478204721451,-0.30179154325995794,22.0,7.739967699355416e-09,0.03254437869822485,0.9674556213017751,-0.9349112426035503,-0.9349112426035503,1.0,1.0,0.0,8.260139931456799e-08,7.083012595422381,French < Dunn,True,961.8194147125778,156.01010600685552,16.22031159076533,0.1638829499752081,1.0,1036.1497168646174,170.3027150323796,16.43611075315588,0.164374168470677,1.0,852.9316266516083,103.94259908633498,12.186510130288765,0.1214605077086721,1.0,890.4352367947397,153.16996116685368,17.201695849123492,0.1781088488032578,1.0,16.43611075315588,17.201695849123492,0.164374168470677,1.0,1.0,0.9868704241756758,0.99701158338905,1179.778005634704,1179.8471969424174,1179.7162683397833,0.0348061923921688,1244.6512806591527,1258.3621313912536,1247.0162825638563,1242.1525013996577,1231.8023332868306,1.2082635774533983,1.0,1.0,1.0,0.0,0.0,868.799531497013,927.893427910756,0.0011496902030734,0.0010765497633557,False,,5,1.0,True,True,True,True,False,False,True,True,retained,5,high
French_vs_Dunn,French,Dunn,FT-038,26,26,6.027400629376501,6.244498143067295,-0.21709751369079378,-0.2922138912994532,418.84988476289016,554.294295507252,-0.4033789836655582,25.0,1.0707588800036591e-08,0.036982248520710054,0.9630177514792899,-0.9260355029585798,-0.9260355029585798,1.0,1.0,0.0,8.260139931456799e-08,7.083012595422381,French < Dunn,True,483.19473611175033,85.39446478785928,17.6728880523462,0.1817703839288994,1.0,639.112857653513,507.7790029695238,79.450600451667,0.3907956941146937,1.0,413.86352127777786,61.06467138958861,14.754784669365211,0.1478343687389213,1.0,438.18500502963366,85.02436825023963,19.403760346497844,0.1985234383838393,1.0,19.403760346497844,79.450600451667,0.1985234383838393,1.0,1.0,0.910797069060686,0.9156117051400836,1025.690862799387,1025.7477618544551,1025.6366460844254,0.030538553488754,1107.23462155222,1121.1202767189984,1109.9813621005935,1104.387069581245,1102.96307424481,1.4209852699776997,1.0,1.0,1.0,0.0,0.0,423.7966793550052,498.8520106409816,0.002354067365871,0.0020005921326947,False,,5,1.0,True,True,True,True,False,False,True,True,retained,6,high
French_vs_Dunn,French,Dunn,FT-174,26,26,4.562984343322091,1.8201520753911031,2.7428322679309876,3.0151870195816635,98.2333616650115,5.47475770806951,3.9379271158138573,650.0,1.0589625078064901e-08,0.9615384615384616,0.9615384615384616,0.9230769230769231,0.9230769230769231,1.0,0.34615384615384615,0.6538461538461539,8.260139931456799e-08,7.083012595422381,French > Dunn,True,28.534948565135387,6.840222093642689,23.971383996115623,0.2488077418313656,0.9090909090909092,42.78142624756968,85.14422754511979,199.02147967765956,0.9665892576199262,0.3703703703703703,97.2041630102426,23.251326409421583,23.920093223755806,0.2389378500589421,1.0,85.63914429270048,73.76357206909495,86.13300924280983,1.1430564060057398,0.3846153846153846,86.13300924280983,199.02147967765956,0.9665892576199262,0.3846153846153846,0.3703703703703703,0.2783065889238822,0.257407931931724,1210.8304701216448,1210.9006110405176,1210.7634042850927,0.0393243797493412,928.6948296247882,936.6544350710782,933.2542365417872,923.4052741038936,921.7589794505756,2.2293708605911333,0.3703703703703703,1.0,0.3846153846153846,0.0,0.0,37.48465694808375,49.21328013165891,0.025984381291199,0.0199150503089622,False,,5,1.0,True,True,True,False,False,False,True,True,retained,7,high
French_vs_Dunn,French,Dunn,FT-015,26,26,7.311098293612716,7.617092332234768,-0.3059940386220523,-0.41529611168190694,1483.0809217433518,2123.5155154760123,-0.5175641205666425,35.0,3.092631852825692e-08,0.051775147928994056,0.9482248520710059,-0.8964497041420119,-0.8964497041420119,1.0,1.0,0.0,2.087526500657342e-07,6.6803680025431875,French < Dunn,True,1948.2048682113164,335.9240659414338,17.242748512883658,0.1793591036019114,0.9090909090909092,2066.3966469167967,570.9602390147946,27.63071842314039,0.8069407118605975,1.0,1411.6876752169676,378.9761476769072,26.845608581137533,0.4839804421678657,1.0,1632.9332523941323,670.5500900217854,41.06414570458746,1.034697073242102,1.0,27.63071842314039,41.06414570458746,0.8069407118605975,1.0,1.0,0.6240427139398252,0.2222704852607517,1685.172273985871,1685.2705514689096,1685.0893153104369,0.0491659417086484,962.883033571473,978.8590223892908,965.5223748060172,960.160472210801,950.0644366637516,1.3022834918697654,1.0,1.0,1.0,0.0,0.0,1659.047450135412,1708.2639694258492,0.0006023924195169,0.0005850471418618,False,,5,1.0,True,True,True,True,False,False,True,True,retained,8,high
French_vs_Dunn,French,Dunn,FT-178,26,26,7.407155631172021,7.237010719134442,0.17014491203757842,0.18081323396131932,1644.8980492059889,1465.4586427785298,0.1665385899743753,639.0,3.8085301816641994e-08,0.9452662721893491,0.9452662721893491,0.8905325443786982,0.8905325443786982,1.0,1.0,0.0,2.281148871196142e-07,6.6418463710893105,French > Dunn,True,1510.7574407189436,367.83106939405207,24.347460385103748,0.2582807507030983,1.0,1450.6667791604805,309.56596846474355,21.33956418605611,0.2594716549765548,1.0,1679.1258688084863,229.1803249530222,13.648787694257212,0.1363614110155887,1.0,1261.1295235666462,373.7460369107488,29.63581693446872,0.4241204834792494,1.0,21.33956418605611,29.63581693446872,0.2594716549765548,1.0,1.0,1.140953965733428,0.9954102721795792,1455.998949997305,1456.082154844198,1455.926444513204,0.041233206473815,1013.726434598975,1028.9705747968685,1016.3456457697848,1011.168015919862,1000.145713291808,1.295076577039198,1.0,1.0,1.0,0.0,0.0,1360.8780803096256,1463.4764966972964,0.0007342801198273,0.0006828378620313,False,,5,1.0,True,True,True,True,False,False,True,True,retained,9,high
French_vs_Dunn,French,Dunn,FT-095,26,26,7.778834111458018,7.877428255537168,-0.09859414407915068,-0.09225246327955805,2410.952782165545,2795.5756197570245,-0.21345967705562643,38.0,4.224349761474337e-08,0.056213017751479286,0.9437869822485208,-0.8875739644970414,-0.8875739644970414,1.0,1.0,0.0,2.281148871196142e-07,6.6418463710893105,French < Dunn,True,2754.065463448269,524.5629975517419,19.046860160504497,0.1818524673668541,1.0,2754.034399961064,519.7633846100945,18.872799287381557,0.2234442754243461,1.0,2421.396406298692,255.86849521679517,10.566980877282775,0.105222289612389,1.0,2458.75815225543,430.6424203795125,17.514631115080686,0.2062818098117186,1.0,17.514631115080686,18.872799287381557,0.2062818098117186,1.0,1.0,1.0874828042541251,0.8815729682265141,1296.8385481999308,1296.9145054717983,1296.7740241235522,0.036768193553219,1325.9004245551305,1343.095463462498,1328.046641465988,1323.3579718833523,1306.2086665112035,1.192316158113339,1.0,1.0,1.0,0.0,0.0,2506.461190989754,2547.379080017163,0.0003988097616798,0.0003924062977291,False,,5,1.0,True,True,True,True,False,False,True,True,retained,10,high
