class,mean_feature_detection_rate,median_feature_detection_rate,fraction_features_ge_70,fraction_features_ge_90
B,0.0,0.0,0.0,0.0
SS,0.1984126984126984,0.0,0.1984126984126984,0.1984126984126984
dQC,0.9865079365079364,1.0,0.9801587301587301,0.9761904761904762
QC,0.9924242424242424,1.0,1.0,0.9761904761904762
Dunn,0.9904467960023515,1.0,0.9880952380952381,0.9880952380952381
French,0.9972527472527473,1.0,0.996031746031746,0.9920634920634921
LMU,0.9795482295482295,1.0,0.9761904761904762,0.9603174603174603
