feature,n_qc_samples_qc_only,qc_detection_rate_qc_only,qc_mean_intensity_qc_only,qc_cv_pct_qc_only,qc_order_spearman_rho_qc_only,qc_order_spearman_abs_qc_only,mz,rt,n_qc_samples_dqc_only,qc_detection_rate_dqc_only,qc_mean_intensity_dqc_only,qc_cv_pct_dqc_only,qc_order_spearman_rho_dqc_only,qc_order_spearman_abs_dqc_only,stable_qc_only_30,stable_dqc_only_30,stable_in_both_30,cv_gap_dqc_minus_qc,abs_drift_gap,potential_concentration_sensitive_flag
FT-037,11,1.0,3003.5202021563223,16.45276449966802,-0.39090909090909093,0.39090909090909093,1025.6898265569414,1095.46453629439,5,1.0,1915.8010985046694,24.680818547163774,0.8999999999999998,0.8999999999999998,True,True,True,8.228054047495753,0.5090909090909088,False
FT-038,11,1.0,483.19473611175033,17.6728880523462,-0.28181818181818186,0.28181818181818186,1025.690862799387,1107.23462155222,5,1.0,293.12095449016607,27.937956799638332,0.7,0.7,True,True,True,10.265068747292133,0.4181818181818181,False
FT-039,11,1.0,5209.867203264728,15.864047863963044,-0.20000000000000004,0.20000000000000004,1024.6867091528734,1095.258554693031,5,1.0,3312.635359515679,29.071078239454387,0.8999999999999998,0.8999999999999998,True,True,True,13.207030375491343,0.6999999999999997,False
FT-040,11,1.0,886.5293864385967,13.387821221160955,-0.09090909090909091,0.09090909090909091,1024.6859401518484,1107.6170160866384,5,1.0,548.8239420669836,33.400268429726836,0.8999999999999998,0.8999999999999998,True,False,False,20.01244720856588,0.8090909090909089,True
FT-041,11,1.0,5085.1341068364645,16.42351642061528,-0.30000000000000004,0.30000000000000004,1025.1883020825835,1095.323555128769,5,1.0,3222.5320724288677,26.173199754236272,0.8999999999999998,0.8999999999999998,True,True,True,9.749683333620993,0.5999999999999998,False
FT-042,11,1.0,813.4564185061249,21.29202363036136,-0.21818181818181823,0.21818181818181823,1025.1886386302892,1107.3546178711229,5,1.0,558.8071477531996,28.75537463853861,0.49999999999999994,0.49999999999999994,True,True,True,7.4633510081772485,0.28181818181818175,False
FT-043,11,1.0,3673.4484500965063,14.038099419463173,-0.24545454545454545,0.24545454545454545,1005.172041771252,1156.3855354906916,5,1.0,1898.603894561535,31.228341090151456,0.8999999999999998,0.8999999999999998,True,False,False,17.190241670688284,0.6545454545454543,True
FT-044,11,1.0,9871.53828443148,13.608698374653995,-0.26363636363636367,0.26363636363636367,923.1212556300736,1057.6205174785268,5,1.0,5895.905531940811,23.262018123545158,0.8999999999999998,0.8999999999999998,True,True,True,9.653319748891162,0.6363636363636361,False
FT-045,11,1.0,5683.922567946237,15.944506072332022,-0.38181818181818183,0.38181818181818183,923.1220202532094,1071.5859281352352,5,1.0,3382.0822096787974,26.045101558935112,0.8999999999999998,0.8999999999999998,True,True,True,10.10059548660309,0.518181818181818,False
FT-046,11,1.0,6610.777976966396,13.349390543993996,-0.22727272727272727,0.22727272727272727,1004.1671268211272,1156.358765017695,5,1.0,3324.246737163291,26.20855795647519,0.8999999999999998,0.8999999999999998,True,True,True,12.859167412481193,0.6727272727272725,False
FT-047,11,1.0,225.33205707869138,36.648962381459704,-0.41818181818181827,0.41818181818181827,995.65692637966,1120.1782129636545,5,1.0,89.19134792124368,43.041928477119036,0.9999999999999999,0.9999999999999999,False,False,False,6.392966095659332,0.5818181818181816,False
FT-048,11,1.0,1832.6181706770913,20.155945711241678,-0.41818181818181827,0.41818181818181827,995.6559728029966,1136.486651444235,5,1.0,1156.4887443827283,32.61482582806233,0.9999999999999999,0.9999999999999999,True,False,False,12.458880116820652,0.5818181818181816,True
FT-049,11,1.0,1635.2833299012173,18.525926962237264,-0.2545454545454546,0.2545454545454546,1097.2225774589213,1176.9292956095635,5,1.0,1273.74329148453,27.139329275477355,0.8999999999999998,0.8999999999999998,True,True,True,8.61340231324009,0.6454545454545453,False
FT-050,11,1.0,6227.326577897577,14.281239714641679,-0.26363636363636367,0.26363636363636367,1004.669623849698,1156.3925786840523,5,1.0,3175.6673224207816,28.091367631487877,0.8999999999999998,0.8999999999999998,True,True,True,13.810127916846199,0.6363636363636361,False
FT-051,11,1.0,130.10013630036502,15.855308980102864,-0.4090909090909091,0.4090909090909091,1069.2050570468462,1157.7638325982018,5,1.0,72.23061465044573,29.131908523660005,0.6,0.6,True,True,True,13.276599543557142,0.19090909090909086,False
FT-052,11,1.0,1665.0215529972318,17.97260968228736,-0.3727272727272728,0.3727272727272728,1069.2070748658969,1173.5811959662594,5,1.0,983.3668856931151,27.498585539634323,0.7,0.7,True,True,True,9.525975857346964,0.32727272727272716,False
FT-053,11,1.0,1619.9294039012275,19.906980102532014,-0.33636363636363636,0.33636363636363636,1097.723992703951,1176.67239430599,5,1.0,1313.842362173183,26.009433567202272,0.8999999999999998,0.8999999999999998,True,True,True,6.102453464670258,0.5636363636363635,False
FT-054,11,1.0,2506.0327709799835,17.92775300213134,-0.08181818181818183,0.08181818181818183,1106.2349666883931,1180.403233758563,5,1.0,1536.3915024541168,31.022376058464065,0.7,0.7,True,False,False,13.094623056332725,0.6181818181818182,True
FT-055,11,1.0,2387.60825200239,16.21411651530456,-0.09090909090909091,0.09090909090909091,1105.7327676680493,1180.3586166880116,5,1.0,1516.5325296623375,28.385515297033738,0.8999999999999998,0.8999999999999998,True,True,True,12.171398781729177,0.8090909090909089,False
FT-056,11,1.0,2788.1660946357697,16.585760165888576,-0.07272727272727274,0.07272727272727274,1178.2689676482953,1244.9133772041282,5,1.0,2002.3507975118446,26.967876685358522,0.8999999999999998,0.8999999999999998,True,True,True,10.382116519469946,0.827272727272727,False
FT-057,11,1.0,1944.9380968611463,17.543502390060354,-0.23636363636363636,0.23636363636363636,1179.2722036799555,1244.832670568563,5,1.0,1323.8261599847515,30.472000237532658,0.9999999999999999,0.9999999999999999,True,False,False,12.928497847472304,0.7636363636363636,True
FT-058,11,1.0,7088.137237817102,15.66742141860612,-0.29090909090909095,0.29090909090909095,1078.208562682587,1212.3710107648494,5,1.0,4681.914553102057,21.899311612599753,0.8999999999999998,0.8999999999999998,True,True,True,6.2318901939936335,0.6090909090909089,False
FT-059,11,1.0,2453.3156439032277,17.107270574508068,-0.11818181818181818,0.11818181818181818,1223.7919594716086,1257.9046668683316,5,1.0,1657.6693087607869,25.665840081165253,0.9999999999999999,0.9999999999999999,True,True,True,8.558569506657186,0.8818181818181817,False
FT-060,11,1.0,400.7886016215288,17.424642441618307,-0.05454545454545456,0.05454545454545456,1251.815294797806,1252.0156980757831,5,1.0,301.4474986875272,25.97911296035211,0.9999999999999999,0.9999999999999999,True,True,True,8.554470518733805,0.9454545454545453,False
FT-061,11,1.0,7352.303049501122,16.021469210983604,-0.4090909090909091,0.4090909090909091,1251.8151979857469,1273.952845715492,5,1.0,5309.152439720074,24.951111991110317,0.8999999999999998,0.8999999999999998,True,True,True,8.929642780126713,0.4909090909090907,False
FT-062,11,1.0,3143.0670541809695,14.300506494659452,-0.30000000000000004,0.30000000000000004,1078.713769906068,1212.1759527027516,5,1.0,2051.4955787998965,20.225284189121446,0.9999999999999999,0.9999999999999999,True,True,True,5.924777694461994,0.6999999999999998,False
FT-063,11,1.0,1353.3149118790946,13.587038070796833,-0.1272727272727273,0.1272727272727273,1149.7527620467906,1199.627733531914,5,1.0,940.2117323078521,27.960361481996788,0.9999999999999999,0.9999999999999999,True,True,True,14.373323411199955,0.8727272727272726,False
FT-064,11,1.0,8017.739487821633,15.2927583675693,-0.2545454545454546,0.2545454545454546,1149.7500936653876,1245.272856166862,5,1.0,4823.88391592002,24.253988521501096,0.8999999999999998,0.8999999999999998,True,True,True,8.961230153931796,0.6454545454545453,False
FT-065,11,1.0,480.1136525835864,20.13205528892478,0.21818181818181823,0.21818181818181823,1149.7477835102598,1279.935188473766,5,1.0,456.30915882500705,30.830300469528495,0.8999999999999998,0.8999999999999998,True,False,False,10.698245180603717,0.6818181818181815,True
FT-066,11,1.0,1444.0545926452266,13.521655317923825,-0.18181818181818182,0.18181818181818182,1150.2523051364865,1199.6136168612857,5,1.0,1027.7045501158889,29.345369281607212,0.9999999999999999,0.9999999999999999,True,True,True,15.823713963683387,0.8181818181818181,False
