method,median_qc_pairwise_corr,min_qc_pairwise_corr,abs_qc_pc1_order_rho,qc_pc1_variance_explained,median_bio_corr_to_class_median,min_bio_corr_to_class_median,qc_total_signal_cv_proxy
log1p,0.9713144088218587,0.817661235836352,0.3272727272727273,0.5413275435905835,0.9884564840418749,0.8464877730856655,3.0120289987702424
raw,0.9713144088218587,0.817661235836352,0.3181818181818182,0.5743881136206253,0.9884324881661659,0.8464877730856655,13.004356450497227
tic_log1p,0.9713144088218587,0.817661235836352,0.16363636363636366,0.33203226630386323,0.9884077337266356,0.8463089269469505,1.8409760042622783
median_log1p,0.9713144088218587,0.817661235836352,0.7272727272727273,0.4499173956930675,0.9882660167784357,0.84692607735434,1.409557297133742
