feature,Dunn,French,LMU,q_value__French_vs_Dunn,auc_abs__French_vs_Dunn,raw_log2_fc__French_vs_Dunn,effect_direction__French_vs_Dunn,significant_fdr_05__French_vs_Dunn,q_value__French_vs_LMU,auc_abs__French_vs_LMU,raw_log2_fc__French_vs_LMU,effect_direction__French_vs_LMU,significant_fdr_05__French_vs_LMU,q_value__LMU_vs_Dunn,auc_abs__LMU_vs_Dunn,raw_log2_fc__LMU_vs_Dunn,effect_direction__LMU_vs_Dunn,significant_fdr_05__LMU_vs_Dunn,n_strong_tasks,clinical_profile,profile_note
FT-015,7.617092332234768,7.311098293612716,7.5628737463439,1.4505916071587172e-07,0.9482248520710059,-0.5175641205666425,French < Dunn,True,7.059621969852433e-06,0.8862179487179487,-0.3237386363487134,French < LMU,True,0.0036034470976637825,0.7548076923076923,-0.1938254842179291,LMU < Dunn,True,2,cancer-specific low,French is clearly depleted relative to both comparison groups.
FT-016,7.335011840203956,6.8899158374369645,7.46478431293326,6.788751309474513e-09,1.0,-0.6760839854375731,French < Dunn,True,8.212233262943234e-09,1.0,-0.7681983099493214,French < LMU,True,1.8674239325054577e-05,0.875,0.09211432451174811,LMU > Dunn,True,2,cancer-specific low,French is clearly depleted relative to both comparison groups.
FT-018,7.845032765102081,7.925990533634005,7.9338830117668895,0.010038156727827957,0.7204142011834319,-0.0083189085177933,French > Dunn,True,0.9447543958944866,0.5080128205128206,-0.01871988898943122,French < LMU,False,0.02003211953166722,0.7035256410256411,0.010400980471637894,LMU > Dunn,True,0,healthy-depleted,Dunn is lowest overall.
FT-020,9.542057851246224,9.271119362146269,9.492833919398088,6.788751309474513e-09,1.0,-0.470256500511369,French < Dunn,True,8.212233262943234e-09,1.0,-0.27363978821781754,French < LMU,True,0.033608950645108465,0.6858974358974359,-0.19661671229355157,LMU < Dunn,True,2,cancer-specific low,French is clearly depleted relative to both comparison groups.
FT-021,9.732048965903106,9.470103409962633,9.698975706074418,6.788751309474513e-09,1.0,-0.46676306472330403,French < Dunn,True,8.212233262943234e-09,1.0,-0.3021512162486492,French < LMU,True,0.020691076505192967,0.701923076923077,-0.16461184847465485,LMU < Dunn,True,2,cancer-specific low,French is clearly depleted relative to both comparison groups.
FT-022,7.62150028367199,7.795167309718224,7.582437664559425,3.84558070066751e-07,0.9319526627218935,0.17597308340998638,French > Dunn,True,1.8461403903027396e-07,0.9471153846153847,0.3801268883910771,French > LMU,True,0.2527278743226868,0.6041666666666667,-0.20415380498109087,LMU < Dunn,False,2,cancer-specific high,French is clearly highest relative to both comparison groups.
FT-023,7.402073769513489,7.504172506397082,7.476333446796607,0.002083164056381955,0.7618343195266272,0.028402028347900628,French > Dunn,True,0.3906604790569022,0.5833333333333334,0.008952878843975809,French > LMU,False,0.018098651706314688,0.7067307692307692,0.019449149503924807,LMU > Dunn,True,0,healthy-depleted,Dunn is lowest overall.
FT-024,8.013687902129291,7.590816729327407,7.837939296443624,6.788751309474513e-09,1.0,-0.6777625371087812,French < Dunn,True,1.9596958705450186e-08,0.9823717948717949,-0.28632726202484243,French < LMU,True,1.2603413877909718e-08,0.9967948717948718,-0.39143527508393855,LMU < Dunn,True,3,cancer-specific low,"French is lowest, Dunn highest, and LMU intermediate."
FT-025,8.916874508417958,8.632184675064817,8.85605108448225,6.788751309474513e-09,1.0,-0.5070959310182878,French < Dunn,True,8.212233262943234e-09,1.0,-0.3275075875499383,French < LMU,True,0.020691076505192967,0.7019230769230769,-0.17958834346834973,LMU < Dunn,True,2,cancer-specific low,French is clearly depleted relative to both comparison groups.
FT-026,7.682375645793767,7.8774440611760514,7.691162635740946,5.1501196257706315e-08,0.9659763313609467,0.2097042448630622,French > Dunn,True,1.054753603406394e-08,0.9935897435897436,0.32664861505465304,French > LMU,True,0.9351140449159715,0.5080128205128205,-0.11694437019159086,LMU > Dunn,False,2,cancer-specific high,French is clearly highest relative to both comparison groups.
FT-027,8.60611983253618,8.18264075078843,8.402245581558834,6.788751309474513e-09,1.0,-0.6903583698335111,French < Dunn,True,1.6754494730629925e-08,0.9855769230769231,-0.2683967151759498,French < LMU,True,1.1976173508458883e-08,1.0,-0.42196165465756114,LMU < Dunn,True,3,cancer-specific low,"French is lowest, Dunn highest, and LMU intermediate."
FT-028,6.475140477159766,6.404070558952593,6.218182953833056,0.041766977237838246,0.6760355029585798,-0.23344046205426117,French < Dunn,True,0.000669664198322522,0.7932692307692308,0.2772531678320282,French > LMU,True,1.1235889208545753e-05,0.8846153846153846,-0.5106936298862894,LMU < Dunn,True,1,benign-depleted,LMU is specifically low for this feature.
FT-030,8.710793796899154,8.285609303466066,8.495959729149611,6.788751309474513e-09,1.0,-0.7048237437083614,French < Dunn,True,1.6754494730629925e-08,0.9855769230769231,-0.2726679427938914,French < LMU,True,1.1976173508458883e-08,1.0,-0.43215580091447003,LMU < Dunn,True,3,cancer-specific low,"French is lowest, Dunn highest, and LMU intermediate."
FT-031,9.100985634486978,9.072482327686625,8.888566752971375,0.026872081120461633,0.6908284023668639,-0.13027908161254426,French < Dunn,True,8.212233262943234e-09,1.0,0.35338089273805756,French > LMU,True,1.3649752514670982e-08,0.9935897435897436,-0.4836599743506018,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-032,8.551362342352942,8.543830093788852,8.34183859938312,0.42428794700399886,0.5724852071005917,-0.11969617482070546,French < Dunn,False,8.212233262943234e-09,1.0,0.31773087853406967,French > LMU,True,1.1976173508458883e-08,1.0,-0.4374270533547751,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-033,7.710204232707483,7.6532020507057075,7.463916376220922,0.0008086956467013231,0.7869822485207101,-0.17512208060847148,French < Dunn,True,8.212233262943234e-09,1.0,0.34852596786126055,French > LMU,True,1.8919665565000555e-08,0.9887820512820513,-0.523648048469732,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-034,7.111045153219317,7.112595921698466,6.902352253247839,0.9340471749069502,0.5088757396449705,-0.12166387602688167,French > Dunn,False,1.9596958705450186e-08,0.9823717948717949,0.3193866586410488,French > LMU,True,1.1976173508458883e-08,1.0,-0.4410505346679303,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-035,8.519308259770707,8.48476074510738,8.288478239902952,0.004633428261880739,0.7411242603550297,-0.13964839682977565,French < Dunn,True,8.76165135225367e-09,0.9983974358974359,0.382700070907766,French > LMU,True,1.3649752514670982e-08,0.9951923076923077,-0.5223484677375416,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-036,7.953586772138039,7.92960451867032,7.739622692625221,0.19824796553391416,0.6124260355029586,-0.1258212059191348,French < Dunn,False,8.212233262943234e-09,1.0,0.33494001457487316,French > LMU,True,1.1976173508458883e-08,1.0,-0.4607612204940078,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-037,8.059882690757835,7.925417960989181,7.8667534441474976,3.282185184489986e-08,0.9733727810650887,-0.3113413848338822,French < Dunn,True,0.004089330557968236,0.7483974358974359,0.1487950441627605,French > LMU,True,1.3649752514670982e-08,0.9935897435897436,-0.46013642899664253,LMU < Dunn,True,2,healthy-associated,"Healthy samples are highest, while both disease groups are lower."
FT-038,6.244498143067295,6.027400629376501,6.107036017879496,5.859430537797802e-08,0.9630177514792899,-0.4033789836655582,French < Dunn,True,0.015113817543006626,0.7115384615384616,0.020136219440912855,French < LMU,True,0.0001196832680520735,0.8365384615384616,-0.4235152031064708,LMU < Dunn,True,1,healthy-associated,Dunn is highest overall.
